"county_name","Population Estimates, July 1 2022, (V2022)","Population Estimates, July 1 2021, (V2021)","Population estimates base, April 1, 2020, (V2022)","Population estimates base, April 1, 2020, (V2021)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total accommodation and food services sales, 2017 ($1,000)","Total health care and social assistance receipts/revenue, 2017 ($1,000)","Total transportation and warehousing receipts/revenue, 2017 ($1,000)","Total retail sales, 2017 ($1,000)","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Total employment, percent change, 2019-2020","Total nonemployer establishments, 2019","All employer firms, Reference year 2017","Men-owned employer firms, Reference year 2017","Women-owned employer firms, Reference year 2017","Minority-owned employer firms, Reference year 2017","Nonminority-owned employer firms, Reference year 2017","Veteran-owned employer firms, Reference year 2017","Nonveteran-owned employer firms, Reference year 2017","Population per square mile, 2020","Population per square mile, 2010","Land area in square miles, 2020","Land area in square miles, 2010","FIPS Code"
"warren_county",NA,"65,618",NA,"65,737",NA,"-0.2%","65,737","65,707","4.3%","17.8%","23.5%","50.5%","95.4%","1.5%","0.3%","0.9%","Z","1.8%","2.9%","93.2%","4,416","3.6%","40,144","70.7%","$214,300","$1,574","$554","$969","280","29,261","2.21","87.8%","4.0%","90.4%","86.1%","91.5%","33.1%","11.2%","5.3%","61.1%","57.3%","420,855","774,281","67,689","1,590,365","$24,693","22.1","$68,765","$41,247","10.2%","2,186","30,940","1,357,237","-2.1%","4,948","2,180","1,246","419","119","1,788","77","1,809","75.8","75.8","867.22","866.95","""36113"""
"delaware_county",NA,"44,378",NA,"44,308",NA,"0.2%","44,308","47,980","3.9%","16.0%","26.0%","49.2%","94.4%","2.3%","0.4%","1.2%","0.1%","1.6%","4.4%","91.1%","2,834","4.3%","30,014","76.0%","$147,600","$1,231","$525","$723","83","18,487","2.29","89.3%","6.0%","87.9%","81.7%","90.1%","23.0%","12.4%","6.0%","53.5%","49.8%","43,246","178,959","31,976","462,341","$10,260","26.0","$52,757","$30,547","15.9%","1,047","9,973","513,995","-2.2%","3,728","825","467","100","S","681","S","616","30.7","33.3","1,442.60","1,442.44","""36025"""
"schoharie_county",NA,"29,863",NA,"29,714",NA,"0.5%","29,714","32,749","4.4%","17.6%","23.2%","49.6%","95.2%","1.7%","0.4%","0.8%","Z","1.9%","3.8%","92.2%","1,841","3.3%","16,498","76.2%","$151,700","$1,426","$567","$847","55","12,110","2.36","89.1%","5.5%","88.4%","80.1%","90.6%","23.2%","11.9%","5.2%","57.4%","53.3%","34,850","71,886","30,327","286,981","$9,180","31.6","$64,220","$33,957","12.9%","564","4,975","195,071","-8.8%","1,888","592","S","112","S","S","S","S","47.8","52.7","621.82","621.82","""36095"""
"schenectady_county",NA,"158,089",NA,"158,061",NA,"Z","158,061","154,727","5.8%","21.6%","17.7%","51.0%","76.4%","13.3%","0.8%","5.2%","0.2%","4.1%","7.8%","71.3%","8,238","10.2%","70,986","64.3%","$178,000","$1,619","$646","$1,018","437","61,038","2.50","88.0%","9.0%","93.4%","87.3%","91.3%","33.3%","9.3%","4.4%","62.5%","59.5%","261,361","1,179,559","138,275","1,938,234","$12,528","22.8","$69,891","$35,747","12.9%","2,933","53,356","2,965,880","-4.1%","9,259","2,550","1,678","363","208","1,996","133","2,043","772.6","756.6","204.58","204.52","""36093"""
"saratoga_county",NA,"237,359",NA,"235,509",NA,"0.8%","235,509","219,607","4.6%","19.3%","19.3%","50.5%","92.7%","2.1%","0.3%","2.9%","0.1%","2.0%","3.5%","89.8%","14,443","5.7%","111,077","72.4%","$273,500","$1,841","$653","$1,198","1,086","97,829","2.36","88.6%","6.7%","94.2%","90.9%","93.7%","42.7%","7.4%","3.8%","66.2%","62.2%","688,968","1,149,166","149,735","3,289,037","$14,343","25.2","$90,800","$47,902","7.7%","5,365","75,962","3,830,262","2.0%","17,512","4,282","2,549","738","231","3,522","186","3,457","290.8","271.1","810.00","809.98","""36091"""
"washington_county",NA,"60,956",NA,"61,302",NA,"-0.6%","61,302","63,216","4.4%","18.4%","20.6%","47.7%","94.0%","3.7%","0.4%","0.6%","Z","1.4%","3.1%","91.8%","4,070","2.6%","29,098","73.6%","$158,100","$1,413","$564","$893","104","24,073","2.42","88.4%","5.1%","90.8%","83.3%","88.7%","20.6%","11.0%","5.3%","58.5%","57.4%","42,334","105,642","22,349","603,887","$9,803","25.7","$63,869","$30,547","12.3%","1,027","10,653","459,934","0.8%","3,682","830","426","S","S","679","24","679","73.8","76.1","831.17","831.18","""36115"""
"clinton_county",NA,"79,596",NA,"79,843",NA,"-0.3%","79,843","82,128","4.6%","18.1%","18.2%","48.3%","92.1%","4.4%","0.4%","1.4%","Z","1.7%","3.0%","89.8%","4,952","4.4%","37,480","68.3%","$143,800","$1,367","$510","$872","172","32,379","2.24","84.8%","5.8%","91.2%","84.2%","87.5%","25.4%","11.8%","5.3%","56.0%","54.8%","173,636","582,587","234,209","1,409,426","$17,488","19.7","$62,470","$31,726","15.1%","1,756","24,904","1,006,989","-2.8%","4,006","1,474","768","S","67","1,172","S","1,093","76.9","79.1","1,037.75","1,037.85","""36019"""
"otsego_county",NA,"58,123",NA,"58,524",NA,"-0.7%","58,524","62,259","4.1%","15.7%","22.1%","51.2%","93.8%","2.7%","0.3%","1.5%","0.1%","1.7%","4.0%","90.6%","3,810","3.7%","29,922","73.8%","$154,200","$1,350","$500","$863","182","22,448","2.38","87.0%","6.0%","90.2%","83.0%","92.8%","33.3%","9.1%","5.5%","56.8%","53.5%","165,491","774,067","35,179","907,921","$15,143","23.2","$60,523","$32,226","13.8%","1,298","18,912","805,795","-1.7%","4,277","1,104","649","159","S","873","S","839","58.4","62.2","1,001.74","1,001.70","""36077"""
"montgomery_county",NA,"49,558",NA,"49,532",NA,"0.1%","49,532","50,219","6.2%","23.2%","19.1%","50.3%","92.2%","3.7%","0.6%","1.1%","0.2%","2.2%","15.5%","79.2%","2,704","3.2%","22,892","69.6%","$113,500","$1,264","$544","$793","110","18,907","2.57","89.1%","12.5%","86.2%","79.2%","88.7%","19.2%","11.7%","5.6%","59.0%","55.9%","57,084","414,388","105,429","705,906","$14,347","24.0","$53,533","$27,871","15.0%","1,034","16,165","643,587","1.4%","2,565","783","480","122","S","605","S","607","122.9","124.6","403.11","403.04","""36057"""
"fulton_county",NA,"53,116",NA,"53,324",NA,"-0.4%","53,324","55,531","4.8%","20.1%","20.4%","50.0%","94.6%","2.5%","0.3%","0.8%","Z","1.8%","3.9%","91.4%","3,560","1.6%","28,133","68.9%","$124,500","$1,225","$541","$792","70","21,712","2.41","89.8%","2.6%","89.2%","81.9%","87.3%","18.2%","13.4%","5.6%","58.7%","55.8%","70,040","315,990","110,318","752,515","$13,983","24.8","$55,240","$30,539","13.6%","1,130","13,957","535,217","-0.7%","2,728","832","432","S","S","662","20","687","107.6","112.1","495.46","495.47","""36035"""
